GDP,Agricultural GDP,Industrial GDP,Counstruction GDP,Communication and Transportation GDP,Government investment of waste gas treatment,Coal consuption,Coke consuption,Crude oil consumption,Gasoline consumption,Kerosene comsuption,Diesel consumption,Fuel oil consumption,Netural gas consumption,Electricity consumption,Number of cars,aqi
1.245062417,0.20126744,0.559892789,0.071878396,0.08597004,12.32545161,2.507557644,0.47634895,0.13796299,0.024946394,0.000456748,0.030917903,0.008159789,0.001428991,0.189662212,0.026569247,89
1.022498153,0.157194563,0.444662432,0.060221598,0.086478062,12.39828631,2.194031615,0.38277589,0.123384547,0.023193973,0.000400355,0.02567883,0.009259861,0.001223224,0.16235633,0.022988625,115
0.893582777,0.142069785,0.383205642,0.049116555,0.086914625,12.46087602,2.039940609,0.268451373,0.103576837,0.021887157,0.000420193,0.025170007,0.009069042,0.00114922,0.143404603,0.020154417,124
0.823519928,0.136411405,0.354984326,0.047557844,0.087381699,12.52783998,1.886998059,0.203010897,0.100097029,0.021174802,0.000447828,0.025090312,0.008265413,0.001040454,0.129504404,0.017895208,137
0.755762661,0.123546599,0.329896614,0.046932874,0.08770902,12.57476776,1.815265208,0.183975127,0.111982319,0.020443512,0.000483968,0.027162122,0.00740036,0.001156728,0.121267606,0.015602337,144
3.951186441,1.161317797,0.406368644,0.221855932,0.227144068,56.62669492,7.355627119,0.317199153,1.054868644,0.107838983,0.011855932,0.269974576,0.000745763,0.06179661,0.915398305,0.124775424,163
4.035448216,1.383637946,0.377519582,0.239630113,0.209068755,121.3711923,7.000883377,0.467245431,1.171910357,0.093925152,0.009821584,0.24435161,0.002706701,0.073920801,0.826910357,0.118455178,113
3.729611307,1.292287986,0.331417845,0.246912544,0.170923145,72.9430212,6.274514134,0.49030477,1.131077739,0.092473498,0.010128092,0.241117491,0.005825972,0.056276502,0.680123675,0.104664311,151
3.361088222,1.276336767,0.282803403,0.191065831,0.160277653,18.1294223,5.386475593,0.45278549,1.162046574,0.069247649,0.020304523,0.194066279,0.003609494,0.045656068,0.515673981,0.09127631,102
2.992326845,1.22236306,0.237980987,0.168356722,0.116215482,28.11453146,4.411498416,0.398474423,1.176306021,0.062851969,0.016894522,0.176785876,0.001086464,0.043014939,0.379855138,0.073182435,96
2.488544622,0.989194508,0.197144165,0.126443936,0.101816934,21.17894737,3.71,0.296663616,1.056494279,0.060032037,0.015254005,0.166462243,0.006842105,0.036681922,0.302956522,0.058187643,95
1.981032886,0.720629921,0.173112552,0.117461788,0.096850394,50.65122742,3.435715609,0.244668828,0.925382121,0.056447429,0.01454377,0.153635943,0.010361278,0.031463641,0.253765632,0.047026401,102
1.963026748,0.823721258,0.148010324,0.104523698,0.090023463,17.24824026,2.678817457,0.214040357,0.910619427,0.058029094,0.017902393,0.157409667,0.012829657,0.032773346,0.224950727,0.039352417,104
1.681699284,0.670696897,0.11572315,0.089307876,0.084620525,12.09689737,2.359756563,0.135918854,0.894210024,0.059431981,0.015885442,0.180615752,0.010625298,0.033322196,0.197288783,0.034415274,99
1.485492683,0.605526829,0.106326829,0.079585366,0.080780488,5.871219512,2.164004878,0.112487805,0.884702439,0.057473171,0.015063415,0.166346341,0.009419512,0.031726829,0.173756098,0.03055122,112
1.295616915,0.478412935,0.101084577,0.072189055,0.074442786,4.8039801,1.920353234,0.091179104,0.810333333,0.053099502,0.012995025,0.150616915,0.008616915,0.028089552,0.154298507,0.028069652,90
1.125364238,0.373968416,0.09188487,0.066474783,0.071309221,10.98013245,1.850122262,0.064635762,0.669449822,0.056500255,0.009271523,0.099918492,0.010244524,0.027514009,0.135455935,0.025506877,94
