GDP,Agricultural GDP,Industrial GDP,Counstruction GDP,Communication and Transportation GDP,GDP per capita,Government investment of waste gas treatment,Coal consumption,Coke consumption,Crude oil consumption,Gasoline consumption,Kerosene consumption,Diesel consumption,Fuel oil consumption,Netural gas consumption,Electricity consumption,Number of cars,Population,aqi
3045.26,1241.33,217.97,163.15,165.6,14871,12036,4436.21,230.6,1813.64,117.82,30.88,341.01,19.31,65.04,356.2,62.63,2050,112
2604.19,961.61,203.18,145.1,149.63,13108,9656,3859.91,183.27,1628.77,106.73,26.12,302.74,17.32,56.46,310.14,56.42,2010,90
2209.09,734.1,180.37,130.49,,11337,,3631.79,126.88,1314.13,110.91,18.2,196.14,20.11,54.01,265.9,50.07,1963,94
1886.35,563.57,155.97,317.5225,,9828,,3184.06,86.61,1189.14,91.35,15.61,181.55,46.52,40.55,234.62,46.76,1934,86
1612.65,463.59,139.56,317,,8457,,2898,83.06,1128.01,86.7,16.61,169.55,34.21,34.57,214.6,45.15,1905,118
1491.6,445.6,128.31,317,,7945,,2734,73.02,1076.34,86.35,23.73,166.63,52.04,34.64,197.92,40.2,1876,138
1363.56,418.63,118.95,317,,7372,,2702.4,74.06,1071.29,101.93,21.31,155.28,56.59,23.44,182.98,36.97,1849,125
6790.32,996,1778.1,730.88,274.65,26165,23862,6557.06,614.92,1446.5,158.2,5.86,335.6,4.97,26.04,1098.72,239.36,2600,95
6836.82,939.21,2263.2,681.34,280.73,26433,137981,6715.87,692.97,1467.85,128.98,5.62,374.8,7.05,25.2,1095.48,185.31,2591,98
6330.69,879.87,2155.22,607.37,267.18,24539,138315,6541.07,666.72,1575.63,122.89,5.1,375.35,4.29,23.23,1073.2,156.38,2582,97
5650.2,780.5,2070.24,529.85,319.66,21978,62220,6558,654.07,1544.21,65.8,5.23,258.03,9.25,20.28,994.6,129.14,2578,94
5020.37,678.75,1923.95,453.88,280.33,19595,69926,6303,601.28,1635.77,58.77,3.72,222.68,9.42,15.85,923.45,105.59,2564,95
4120.75,599.28,1602.87,382.1,227.18,16113,104552,5389.57,541.6,1400.18,56.57,4.98,210.64,14.63,14.21,804.43,85.04,2560,109
3387.56,497.05,1203.7,323.54,213.64,13269,51173,4478.5,540.33,1440.79,50.14,5.45,185.62,13.39,12.43,705.51,65.75,2555,101
3166.82,462.27,1188.78,281.56,211.11,12421,61522,4682.87,544.17,1394.36,50.18,5.51,168.61,12.73,12.01,677.76,50.57,2551,94
2703.98,387.55,1063.84,215.48,181.24,10614,45919,4455.19,561.56,1432.87,87.66,5.48,113.94,14.33,12.97,614.74,43.04,2548,90
2277.35,334,868.13,175.06,169.58,8749,105493,3959.09,469.36,1323.38,88.03,4.68,117.61,14.05,11.97,536.33,37.26,2547,129
1933.98,308.06,685.8,152.76,144.7,7477,49290,3750.67,424.41,1229.26,86.9,4.61,114.98,16.03,9.62,489.48,33.74,2545,109
1688.49,286.78,574,139.3,,6566,,3479.32,346.73,1154.76,77.47,6.8,105.9,15.48,8.53,452,19.39,2541,114
1399.83,237.91,448.23,123.78,,5429,,3218.54,181.78,1017.98,97.82,5.34,82.33,19.95,7.37,398.33,27.39,2537,115
1232.03,215.51,389.38,112.31,,4768,,2798,177.4,935.32,97.37,5.3,71.17,30.39,2.76,339.66,25.68,2531,147
1125.37,207.96,355.51,102.56,,4386,,2551,176.67,887.1,103.96,5.28,100.8,50.12,1.19,306.09,23.87,2523,114
1052.88,194.1,327.6,94.04,,4129,,2480.38,179.28,880.88,98.41,3.73,91.82,58,0.85,295.33,22.2,2515,147
25123.45,114,7162.33,855.22,1133.17,103796,74012,4728.13,630.75,2526.11,607.69,511.45,561.87,540.23,77.41,1405.55,282.23,2415,115
23567.7,128.62,7362.84,831.86,1044.46,97370,98400,4895.78,654.84,2242.07,577.03,450.72,548.41,556.15,72.43,1369.03,255.03,2426,89
21818.15,129.28,7139.18,791.08,935.91,90993,19056,5681.19,640.3,2611.76,532.55,437.48,555.84,603.14,72.89,1410.6,234.91,2415,70
20181.72,127.8,7097.76,757.01,895.31,85373,55455,5703,673.17,2210.55,517.35,402.74,568.99,640.15,64.38,1353.4,212.66,2380,58
19195.69,124.94,7208.59,719.3,868.31,82560,51244,6142,714.15,2134.69,472.87,400.5,532.96,675.04,55.43,1339.62,194.75,2347,64
17165.98,114.15,6536.21,682.11,834.4,76074,34781,5875.52,717.08,2126.5,415.37,399.07,509.04,744.28,45.01,1295.87,175.51,2303,63
15046.45,113.82,5408.75,593.03,635.01,69165,40746,5305.17,677.68,1937.18,388.52,353.11,483.19,742.79,33.52,1153.38,147.11,2210,64
14069.86,111.8,5576.79,509.05,712.99,66932,76983,5463.91,714.44,1951.55,340.5,321.47,427.05,788.73,30,1138.22,132.12,2141,67
12494.01,101.84,5154.42,416.64,682.84,62041,148485,5259.53,729.7,1719.57,299.66,295.45,417.17,848.61,27.78,1072.38,119.7,2064,69
10572.24,93.81,4575.3,394.65,643.92,57310,16856,5143.09,655.46,1832.84,268.73,261.97,370.98,805.79,25.25,990.15,107.04,1964,67
9247.66,90.26,4036.85,344.35,571.57,51474,55719,5324.52,630.51,1967,242.34,223.32,329.6,765.95,18.72,921.97,95.16,1890,69
8072.83,83.45,3593.25,298.87,493.6,46338,25677,5144.32,590.65,1842.29,221.02,168.15,346.56,657.95,10.69,821.44,83.51,1835,75
6694.23,81.02,2941.24,267.78,,39128,,5017.5,627.81,1737.52,202.24,103.44,288.32,616.07,4.97,745.97,71.9,1766,73
5741.03,79.68,2368.02,254.43,,35329,,4685,626.58,1424.91,160.09,103.62,236.78,519.71,4.33,645.71,62.3,1713,79
5210.12,78,2166.74,236.44,,32201,,4610,709.82,1355.03,137.33,59.57,231.8,492.61,3.3,592.98,55.01,1668,75
4771.17,76.68,1998.96,208.67,,29671,,4496.08,719.99,1309.7,133.25,55.71,176.44,494.2,2.54,559.45,49.19,1609,69
29550.19,3417.3,11532.37,2039.88,1242.34,50654,120301,11765.91,1030.01,1299.01,699.92,69.87,859.02,148.75,40.26,1665.16,498.63,5852,166
27379.22,3255.95,10992.79,1925.09,1181.58,47145,232512,11887.83,1124.4,1290.87,660.05,66.04,863.69,135.51,40.24,1656.54,422.23,5816,120
24791.83,3098.16,10139.24,1705.95,1078.11,42826,216673,12166.72,1114.39,1176.72,616.05,63.77,805.41,118.84,31.97,1629.8,354.4,5799,112
22250.45,2848.77,9735.15,1457.95,934.96,38572,75490,15799,1113.85,947.74,566.71,53.26,732.07,104.29,29.28,1507.9,293.64,5779,73
19632.26,2569.3,8538.04,1277.9,869.48,34197,38972,15805,1172.72,1026.23,497.81,46.75,698.07,97.34,24.92,1450.76,249.49,5758,74
15967.61,2147,6726.53,1040.71,753.61,27906,197293,13470.06,1120.83,1033.86,457.8,40.41,648.96,92.01,19.56,1330.44,207.49,5728,78
12961.1,1795.9,5183.68,854.4,642.72,22677,213918,11099.75,910.76,946.6,559.5,47.43,790.67,108.88,16.52,1135.13,168.32,5720,78
11328.92,1780,4391.23,690.84,562.46,19858,60834,10196.08,952.27,884.26,624.23,49.7,613.49,106.97,15.6,1058.53,136.86,5711,81
9333.4,1378,3588,555.06,485.87,16386,92666,10534.62,820,910,551.91,35.98,609.42,123.54,8.63,989.23,115.46,5699,87
7617.47,1140.41,2929.19,435.89,431.32,13150,65822,9651.64,752.13,851.1,421.49,34.61,496.62,125.99,6.64,876.76,98.74,5693,86
6590.19,1082.13,2478.66,373.46,370.36,11431,40008,8652.64,685.47,822.13,367.43,26.08,451.49,110.87,6.11,788.91,86.24,5710,84
5633.24,1020.09,1987.5,333.1,346.87,9898,30140,8053.71,560.36,754.01,304.55,14.55,380.55,87.2,0.94,699.41,77.83,5698,93
4757.45,798.35,1682.16,273.86,,8378,,7238.46,552.49,637.14,292.86,12.93,370.96,90.77,0.94,629.2,72.86,5685,91
4212.82,707,1473,236.89,,7437,,6483,536.16,595.43,232.78,17.47,308.28,57,0.91,561.96,62.33,5672,97
3880.53,692.17,1360.1,214.29,,6867,,6096,521.52,570.06,185.55,14.51,263.88,58.45,0.76,526.02,52.33,5658,100
3545.39,662.3,1243.24,194.14,,6293,,6050.62,556.83,669.77,169.17,18.29,261.3,106.69,0.91,503.02,47.55,5646,91
30053.1,3745.3,11039.08,2321.38,1219.77,36775,46884,9288.9,1853.31,989.56,894.98,278.18,814.78,135.68,170.98,1992.4,767.13,8204,159
28536.66,3594.17,11851.99,2225.44,1067.98,35128,164883,11045.39,1863.88,865.4,829.84,250.54,748.57,125.72,165.17,2014.79,666.92,8140,111
26392.07,3425.61,11540.86,2038.17,751.55,32617,148926,11678.55,1760.13,306.49,818.47,239.76,754.04,87.9,148.3,1949,573.03,8107,135
23872.8,3297.21,10550.53,1782.75,707.19,29608,48615,11872,1562.85,351.47,700,205.44,643.4,75.21,153,1830.7,493.22,8076,84
21026.68,2983.51,9491.05,1538.08,638.76,26133,84726,11454,1438.85,361.75,642.08,206.24,576.52,70.45,156.08,1751.44,422.17,8050,74
17185.48,2482.89,7431.45,1240.73,573.75,21182,30889,11520.4,1353.64,351.76,541.82,173.31,525.1,62.82,175.26,1549.03,354.97,8045,77
14151.28,2240.61,5678.24,1033.63,520.71,17339,31900,12147.35,1121.99,315.68,462.92,155.07,538.46,13.34,126.99,1324.61,284.69,8185,81
12601.23,2216.15,4956.13,867.26,550.68,15495,86503,10727.41,1119.1,285.49,375.92,126.61,473.94,12.6,108.94,1210.13,219.05,8138,81
10562.39,2032,3921.41,727.38,511.49,12963,83307,9450.11,1144.05,239.95,330.44,128.62,394.23,7.17,112.15,1177.51,183.62,8127,81
8690.24,1595.48,3144.67,630.47,456.17,10546,136481,8532.71,1003.67,174.94,269.32,105.83,354.61,9.5,106.08,1059.44,157.23,8169,87
7385.1,1481.14,2527.08,540.15,380.27,9060,120499,7791.93,894.54,140.81,224.44,93.56,287.43,8.08,89.52,942.59,138,8212,89
6379.63,1379.93,2013.8,475.6,334.5,7895,108994,8188.68,813.32,114.99,204.02,78.99,269.71,8.11,80.64,857.02,126.78,8090,83
5333.09,1128.61,1604.49,410.31,,6623,,7254.1,625.58,75.67,181.66,72.14,226.98,11.13,74.68,758.79,113.87,8176,84
4725.01,1047.95,1372.64,360.74,,5890,,5462,541.2,57.78,171.47,56.13,196.43,12.42,69.96,660.51,98.97,8110,87
4293.49,981.67,1253.19,318.82,,5376,,4650,487.81,55.8,157.96,43.62,194.86,11.74,63.07,589.57,85.39,8143,83
3928.2,945.58,1154.46,278.65,,4956,,4861.98,447.25,38.89,143.65,36.04,161.61,13.32,58.67,521.23,76.49,8329,77
16538.19,210.5,6982.66,740.31,729.09,107960,205875,4538.83,904.69,1616.72,263.73,65.78,353.43,94.14,63.98,800.6,273.62,1547,136
15726.93,201.53,7079.1,686.98,720.72,105231,151108,5027.28,954.39,1603.17,226.82,59.85,334.43,78.2,45.49,794.36,274.14,1517,122
14442.01,188.54,6686.6,621.45,675.02,100105,74491,5278.67,955.48,1759.15,212.24,56.12,324.65,86.93,37.79,774.5,261.58,1472,155
12893.88,171.6,6123.06,540.76,683.56,93173,42459,5298,882.72,1544.62,253.75,29.41,378.17,122.33,32.58,722.5,221.12,1413,78
11307.28,159.72,5430.84,497.48,632.1,85213,46800,5262,709.48,1754.02,222.57,24.53,360.66,149.96,26.02,695.15,190.78,1355,73
9224.46,145.58,4410.85,429.38,585.37,72994,34856,4806.79,663.91,1566.79,205.12,21.4,333.54,143.69,22.93,645.74,158.24,1299,76
7521.85,128.85,3622.11,365.73,471.01,62574,75921,4119.65,868.65,844.64,181.03,20.73,303.57,94.65,18.12,550.16,130,1228,78
6719.01,122.58,3418.87,290.91,436.37,58656,99041,3972.77,719.23,790.33,148.76,18.13,289.76,92.49,16.84,515.88,108.47,1176,74
5252.76,110.19,2661.87,230.66,334.67,47970,67063,3926.7,667.75,950.14,140.15,19.38,260.84,89.63,14.27,494.91,93.25,1115,75
4462.74,103.35,2261.52,195.56,302.2,40961,68426,3809.31,541.1,900.49,127.84,16.36,247.03,107.12,11.22,433.65,79.22,1075,85
3905.64,112.38,1957.95,177.12,277.17,35783,101091,3801.45,329.75,863.14,118.96,15.12,243.14,112.69,9.04,384.84,67.68,1043,83
3110.97,105.28,1549.67,136.26,222.83,30575,42940,3508.57,328.04,786.57,118.71,15.02,226.03,113.9,8.55,350.97,58.34,1024,84
2578.03,89.91,1217.88,119.43,,25544,,3205.34,143.15,750.95,106.42,18.61,193.79,113.48,7.26,313,53.78,1011,94
2150.76,84.21,968.44,100.64,,21387,,2929,149.49,675.58,94.76,15.63,183.81,88.98,6.48,274.39,48.33,1007,98
1919.09,78.73,869.15,89.91,,19141,,2635,128.77,749.35,116.27,11.42,183.42,87.46,7.89,247.94,44.79,1004,115
1701.88,73.69,785.96,77.87,,17353,,2472.71,143.68,709.76,112.43,18.82,197.6,79.51,5.4,234.05,47.89,1001,110
63002.33,5182.9,25910.75,3664.86,2503.65,64168,781673,40926.94,3703.55,8607.02,726.02,98.5,1335.26,3247.01,82.32,5117.05,1510.81,9847,146
59426.59,4992.88,25340.86,3534.48,2326.25,60879,1281351,39561.73,3761.51,7815.9,705.32,4.57,1264.62,2472.46,74.96,4223.49,1350.25,9789,133
55230.32,4742.63,24265.31,3261.07,2065.16,56885,701240,37683.44,3680.29,6766.01,705.41,4.5,1262.92,2139.16,68.8,4083.1,1199.71,9733,200
50013.24,4281.7,22798.33,2937.4,2516.19,51768,303865,40233,3506.05,6271.5,811.58,77.08,1814.34,1695.2,67.23,3794.6,1027.16,9685,81
45361.85,3973.85,21275.89,2741.22,2328.38,47335,244688,38921,3314.77,5826.37,806.41,39.66,1664.29,1466.6,52.86,3635.26,851.12,9637,77
39169.92,3588.28,18861.45,2377.04,1971,41106,186423,37327.89,3067.58,5593.4,802.4,38.61,1448.12,1286.77,47.01,3298.46,705.89,9588,85
33896.65,3226.64,16896.14,2005.69,1742.33,35894,197084,34795.17,2922.57,5142.9,640.91,35.41,1334.11,404.87,40.24,2941.07,553.51,9470,87
30933.28,3002.65,15894.95,1677.03,1721.24,32936,456999,34389.61,2611.9,4626.97,588.59,30.73,1257.74,355.43,34.5,2726.97,426.31,9417,90
25776.91,2509.14,13283.72,1363.81,1334.62,27604,300478,31702.78,2593.44,4075.67,572.79,32.02,1286.94,367.24,23.33,2596.05,359.59,9367,86
21900.19,2138.9,11378.82,1195.21,1193.32,23546,240340,29001.25,1714.03,3878.27,540.58,23.88,1220.97,304.11,22.59,2272.07,299.23,9309,83
18366.87,1963.51,9418.58,1060.04,972.85,20096,195958,25247.91,1992.57,3300.36,495.53,21.99,1132.31,294.43,17.89,1911.61,246.96,9248,90
15021.84,1778.45,7576.12,902.57,782.64,16413,108153,18270.08,1235.5,3196.39,233.66,21.74,582.3,279.16,11.71,1693.71,211.43,9180,101
12078.15,1480.67,5706.71,778.34,719.18,13268,,15165.68,660.08,2213.73,209.51,14.23,521.01,241.19,9.61,1395.72,175.74,9125,100
10275.5,1390,4518.87,666.11,655.64,11340,,12938,415.42,1628.23,176.83,41.97,248.72,270.54,4.63,1241.74,150.53,9082,91
9195.04,1359.49,4004.09,551.92,657.57,10195,,11098,460.98,1777.97,188.92,49.53,332.65,271.37,4.93,1104.53,127.67,9041,99
8337.47,1268.57,3665.74,498.71,545.13,9326,,8698.35,424.83,1771.22,188.52,48.25,343.87,344.25,4.53,1000.71,112.3,8998,75
28669.02,2505.1,11270.82,1881.32,1702.8,65354,143078,17336.36,3187.56,6439.87,742.72,29.97,1109.26,311.24,55.35,1984.89,582.5,4382,157
28626.58,2403.17,12656.83,1875.69,1488.93,65201,326098,18002.27,3296.94,6364.79,704.73,29.75,1060.16,362.91,84,2038.73,520.04,4391,112
27213.22,2321.64,12300.7,1806.97,1396.68,61996,237364,18132.77,3201.31,6480.07,658.9,29.05,1021.71,360.39,78.68,2008.5,457.05,4390,153
24846.43,2155.82,11605.07,1625.42,1297.18,56649,56168,18219,3442.08,7000.91,780.84,35.58,1225.48,422,63.72,1899.9,414.88,4389,73
22226.7,1915.57,10696.54,1455.61,1143.17,50760,44932,18054,3386.36,6705.53,706.61,27.35,1104.53,391.4,39.07,1861.53,356.75,4383,75
18457.27,1631.08,8789.27,1187.55,926.81,42355,94551,16908.43,3162.88,6558.91,593.17,23.34,963.9,356.43,19.02,1715.26,296.32,4375,77
15212.49,1414.9,6925.63,980.71,790.56,35149,157287,16032.52,2795.19,5873.05,464.05,20.62,810.45,299.94,16.44,1488.17,242.07,4341,81
13668.58,1302.02,6359.43,799.41,734.13,31739,91450,15346.66,2440.82,5945.19,410.49,24.99,778.42,379.66,16.21,1412,194.98,4315,85
11164.3,1133.42,4892.45,651.69,665.63,26057,110239,15224.32,2298.83,5893.46,442.12,38.15,693.71,224.22,14.24,1359.51,171.36,4298,85
9304.52,939.43,4017.02,549.81,572.26,21802,78076,14211.31,1959.93,5555.04,393.53,34.89,587.76,230.73,13.1,1228.27,159.22,4271,84
8047.26,882.41,3401.8,467.6,493.75,18983,88477,13069.67,1703.41,5410.89,357.17,26.4,534.4,189.88,14.81,1110.56,134.87,4221,85
6672,798.43,2680.41,381.21,425,15835,52987,11944.98,821.02,5216.67,229.18,21.53,321.68,193.29,15.81,1058.1,116.27,4217,95
6002.54,615.8,2556.82,342.07,,14270,,10453.84,1131.02,4560.41,227.94,18.42,267.7,192.54,18.82,886.88,103.54,4210,96
5458.22,590.2,2331.95,277.9,,13000,,9355,1046.88,4218.81,236.1,20.27,273.24,237.58,18.81,809.45,88.68,4203,116
5033.08,544.44,2190.12,250.43,,12015,,9084,898.14,4046.3,235.79,18.17,279.75,293.2,18.93,764.77,85.57,4194,114
4669.06,503.44,2114.89,229.51,,11177,,9582.18,878.12,3938.74,149.47,18.55,197.22,296.73,20.15,748.89,78.61,4184,88
